expName	date	vpNum	gender	age	handedness	mapping	block	trial	trialCount	practice	stimComb	language	word	colour	compCode	compLabel	corrKeyLabel	corrKeyNum	fixOn_VBLTimestamp	fixOn_StimulusOnsetTime	fixOn_FlipTimestamp	fixOn_Missed	fixOn_Beampos	stroopOn_VBLTimestamp	stroopOn_StimulusOnsetTime	stroopOn_FlipTimestamp	stroopOn_Missed	stroopOn_Beampos	fbOn_VBLTimestamp	fbOn_StimulusOnsetTime	fbOn_FlipTimestamp	fbOn_Missed	fbOn_Beampos	fbOff_VBLTimestamp	fbOff_StimulusOnsetTime	fbOff_FlipTimestamp	fbOff_Missed	fbOff_Beampos	respKey	respKeyTimestamp	corr	rt
stroopControlBeh	20170126T121604	1	m	19	r	1	7	32	544	0	9	L2	rot	red	1	comp	left	127	1485429362.815070	1485429362.815070	1485429362.815585	-0.000837	11	1485429363.565968	1485429363.565968	1485429363.566494	-0.000833	11	1485429363.999821	1485429363.999821	1485429364.000146	-0.000832	6	1485429363.999821	1485429363.999821	1485429364.000146	-0.000832	6	127	1485429363.990529	1	422.577381
stroopControlBeh	20170126T121605	1	m	19	r	1	7	33	545	0	12	L2	blau	brown	2	incomp	right	191	1485429364.750715	1485429364.750715	1485429364.751193	-0.000836	10	1485429365.501611	1485429365.501611	1485429365.502131	-0.000834	11	1485429365.902093	1485429365.902093	1485429365.902459	-0.000830	8	1485429365.902093	1485429365.902093	1485429365.902459	-0.000830	8	191	1485429365.886526	1	382.927895
stroopControlBeh	20170126T121607	1	m	19	r	1	7	34	546	0	16	L2	braun	brown	1	comp	right	191	1485429366.652986	1485429366.652986	1485429366.653486	-0.000837	11	1485429367.403882	1485429367.403882	1485429367.404389	-0.000834	10	1485429367.787674	1485429367.787674	1485429367.787970	-0.000833	5	1485429367.787674	1485429367.787674	1485429367.787970	-0.000833	5	191	1485429367.772522	1	366.652966
stroopControlBeh	20170126T121609	1	m	19	r	1	7	35	547	0	10	L2	rot	green	2	incomp	right	191	1485429368.538572	1485429368.538572	1485429368.538979	-0.000833	7	1485429369.289467	1485429369.289467	1485429369.289966	-0.000835	9	1485429369.956930	1485429369.956930	1485429369.957286	-0.000834	8	1485429369.956930	1485429369.956930	1485429369.957286	-0.000834	8	191	1485429369.943516	1	652.072906
stroopControlBeh	20170126T121612	1	m	19	r	1	7	36	548	0	7	L1	brown	blue	2	incomp	left	127	1485429370.707827	1485429370.707827	1485429370.708297	-0.000833	10	1485429371.458728	1485429371.458728	1485429371.459194	-0.000830	10	1485429372.076128	1485429372.076128	1485429372.076444	-0.000837	7	1485429372.076128	1485429372.076128	1485429372.076444	-0.000837	7	127	1485429372.061509	1	600.793362
stroopControlBeh	20170126T121613	1	m	19	r	1	7	37	549	0	13	L2	grün	red	2	incomp	left	127	1485429372.827024	1485429372.827024	1485429372.827523	-0.000834	11	1485429373.577921	1485429373.577921	1485429373.578357	-0.000833	8	1485429373.995090	1485429373.995090	1485429373.995320	-0.000830	3	1485429373.995090	1485429373.995090	1485429373.995320	-0.000830	3	127	1485429373.986504	1	406.600952
stroopControlBeh	20170126T121616	1	m	19	r	1	7	38	550	0	10	L2	rot	green	2	incomp	right	191	1485429374.745982	1485429374.745982	1485429374.746508	-0.000838	11	1485429375.496879	1485429375.496879	1485429375.497386	-0.000833	11	1485429376.097596	1485429376.097596	1485429376.097859	-0.000834	5	1485429376.097596	1485429376.097596	1485429376.097859	-0.000834	5	191	1485429376.085500	1	586.632729
stroopControlBeh	20170126T121618	1	m	19	r	1	7	39	551	0	6	L1	green	green	1	comp	right	191	1485429376.848493	1485429376.848493	1485429376.848883	-0.000834	6	1485429377.599391	1485429377.599391	1485429377.599852	-0.000833	8	1485429378.033241	1485429378.033241	1485429378.033590	-0.000834	7	1485429378.033241	1485429378.033241	1485429378.033590	-0.000834	7	191	1485429378.019494	1	418.177605
stroopControlBeh	20170126T121620	1	m	19	r	1	7	40	552	0	3	L1	blue	blue	1	comp	left	127	1485429378.784137	1485429378.784137	1485429378.784626	-0.000834	10	1485429379.535034	1485429379.535034	1485429379.535492	-0.000833	10	1485429380.069005	1485429380.069005	1485429380.069275	-0.000834	5	1485429380.069005	1485429380.069005	1485429380.069275	-0.000834	5	127	1485429380.057491	1	520.469904
stroopControlBeh	20170126T121623	1	m	19	r	1	7	41	553	0	7	L1	brown	blue	2	incomp	left	127	1485429380.819901	1485429380.819901	1485429380.820420	-0.000834	12	1485429381.570798	1485429381.570798	1485429381.571271	-0.000834	9	1485429382.088083	1485429382.088083	1485429382.088426	-0.000834	5	1485429383.089278	1485429383.089278	1485429383.089698	-0.000833	10	191	1485429382.079488	2	506.705761
